Name,Teff1,Teff1_err,Teff2,Teff2_err,Vmag,source,RAJ2000,DecJ2000,Period,Result,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,Arcsec Real Center Deviance from Catalog,include
V467 Vel,36200,2500,25260,2500,10.9,AllWISE,130.9575,-46.11912,2.7532,,,J084349.80-460708.7,130.9575211,-46.1191030,2.000,0.09754671496,1
CV Vel,18100,500,17900,500,6.69,AllWISE,135.1583,-51.55557,6.889494,,,J090037.97-513319.9,135.1582453,-51.5555362,2.000,0.2314811197,1
V636 Cen,5900,85,5000,100,9.09,AllWISE,214.2413,-49.9451,4.283943,,,J141657.89-495642.6,214.241224,-49.9451690,2.000,0.3695396055,1
TV Nor,9120,150,7800,110,9.06,AllWISE,241.03851,-51.54444,8.524406,,,J160409.24-513240.1,241.0385047,-51.5444911,2.000,0.1849468248,1
zeta Phe,14400,800,12000,600,3.97,AllWISE,17.09617,-55.24576,1.6697671,,,J010823.03-551444.5,17.0959635,-55.2456966,2.000,0.7776484152,1
QX Car,23800,500,22600,500,6.64,AllWISE,148.64117,-58.42127,4.478016,,,J095433.88-582516.5,148.6411778,-58.4212639,2.000,0.03564727204,1
GV Car,10100,300,7750,350,8.91,AllWISE,166.38704,-58.73052,4.2946277,,,J110532.86-584349.8,166.3869569,-58.7305002,2.000,0.3075346225,1
EP Cru,15700,500,15400,500,8.69,AllWISE,189.31978,-56.78816,11.0776,,,J123716.74-564717.4,189.3197531,-56.7881687,2.000,0.101778819,1
SZ Cen,8100,300,8380,300,8.59,AllWISE,207.64622,-58.49919,4.1079784,,,J135035.02-582957.1,207.6459426,-58.4992063,2.000,1.00036253,1
V539 Ara,18100,500,17100,500,5.71,AllWISE,267.61832,-53.61241,3.169094,,,J175028.39-533644.6,267.6183116,-53.6124115,2.000,0.03071835918,1
BG Ind,6350,200,6650,100,6.14,AllWISE,329.62534,-59.01214,,,,J215830.08-590043.3,329.6253605,-59.0120287,2.000,0.407419811,1
V392 Car,8850,200,8630,200,9.48,AllWISE,119.54362,-60.86597,3.17499,BEAUTIFUL,3,J075810.47-605157.3,119.5436314,-60.8659207,2.000,0.1821632015,1
DW Car,27900,1000,26500,1000,9.85,AllWISE,160.79195,-60.03659,1.327747,,,J104310.07-600211.7,160.7919613,-60.0365927,2.000,0.04182512158,1
EM Car,34000,2000,34000,2000,8.52,AllWISE,168.01878,-61.09526,3.4142647,,,J111204.49-610542.9,168.0187179,-61.0952698,2.000,0.2263266488,1
V349 Ara,9074,200,8180,202,8.58,AllWISE,249.84422,-60.96171,2.651782,,,J163922.59-605742.2,249.8441442,-60.9617328,2.000,0.2849572263,1
UX Men,6200,100,6150,100,8.24,AllWISE,82.51327,-76.24871,4.1811,,,J053003.29-761455.2,82.5137182,-76.2486699,2.000,1.619965,1
RS Cha,7640,180,7240,170,6.07,AllWISE,130.8009,-79.07008,1.669885,YES,3,J084312.14-790412.0,130.8005866,-79.0700163,2.000,1.151309324,1
RZ Cha,6450,150,6450,150,8.09,AllWISE,160.60043,-82.03727,2.8320867,YES-ish,3,J104224.01-820214.6,160.6000474,-82.0373958,2.000,1.449903743,1
TZ Men,10400,500,7200,300,6.18,AllWISE,82.55786,-84.7851,8.56898,,,J053013.84-844705.8,82.5576704,-84.7849557,2.000,0.8577573223,1
