ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.3316945,-2.6956389,0.8363,0.9073,-0.2785,16.157,0.270,4.0,9.908E-01,15.308,null,0.0,7.251E-01,1,0,0000,BU,10,58015.87243448,862003101351027615,17.346,0.180,16.719,null,12.380,null,8.952,null,null,null,null,null,null,null,null,31.948072,193.509965
86.3287759,-2.6796696,0.5818,0.5631,-0.0661,15.440,0.165,6.6,5.621E-01,15.073,null,0.8,1.053E+00,1,0,0000,BU,10,57449.47003525,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,31.950450,325.799384
86.3323268,-2.6957712,1.1024,1.4869,0.3009,16.222,0.510,2.1,5.880E-01,15.454,null,-0.7,9.713E-01,1,0,0000,CU,10,57449.40445609,862003101351027615,17.346,0.180,16.719,null,12.380,null,8.952,null,null,null,null,null,null,null,null,31.964444,189.343948
86.3287354,-2.6796890,0.5473,0.5638,-0.2214,15.290,0.175,6.2,7.631E-01,14.604,null,1.3,8.980E-01,1,0,0000,BU,10,59266.27168314,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,31.974949,325.513195
86.3288080,-2.6796391,0.6295,0.5866,-0.2837,15.641,0.190,5.7,7.617E-01,15.100,0.384,2.8,7.924E-01,1,0,0000,BC,10,58015.61050032,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,31.976765,326.081037
86.3286593,-2.6797409,0.3652,0.4162,-0.0998,15.230,0.128,8.5,1.559E+00,14.905,null,0.6,4.925E-01,1,0,0000,BU,5,59842.65812065,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,31.977611,324.919475
86.3285582,-2.6798119,0.4034,0.4296,-0.1802,15.273,0.128,8.5,1.020E+00,14.854,null,1.6,8.894E-01,1,0,0000,BU,10,59265.55209529,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,31.980477,324.123233
86.3287854,-2.6796462,0.3698,0.3955,-0.1200,15.227,0.125,8.7,1.007E+00,15.468,0.455,2.4,6.354E-01,1,0,0000,BC,10,57090.12289564,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.001010,325.934751
86.3287769,-2.6796501,0.5510,0.5934,-0.3484,15.266,0.158,6.9,9.049E-01,15.018,null,1.0,8.009E-01,1,0,0000,BU,10,56731.32088633,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.006517,325.875344
86.3286959,-2.6943154,0.5257,0.4741,-0.1020,15.334,0.171,6.4,5.205E-01,15.259,null,0.5,7.024E-01,1,0,0000,BU,10,56922.37808759,862003101351026449,15.571,0.050,15.648,0.138,12.428,null,8.956,null,147303753,17.224,0.2470,15.997,0.1957,15.774,0.2957,32.009370,214.752897
86.3286781,-2.6797166,0.3552,0.4731,-0.1407,15.177,0.165,6.6,1.530E+00,15.161,0.432,2.5,1.048E+00,1,0,0000,BC,10,57449.33900420,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.010519,325.108492
86.3289606,-2.6795249,0.6820,0.6971,-0.1869,15.703,0.211,5.1,3.844E-01,14.716,null,1.8,4.906E-01,1,0,0000,BU,10,59111.41178590,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.019032,327.306511
86.3285385,-2.6798097,0.5137,0.6952,-0.2386,15.684,0.205,5.3,1.267E+00,14.574,null,1.9,5.499E-01,1,0,0000,BU,5,58744.76564694,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.028455,324.028849
86.3421574,-2.6840014,0.8716,0.8865,0.0886,16.019,0.258,4.2,9.067E-01,14.947,null,1.0,4.369E-01,1,0,0000,BU,10,58016.06878951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.047223,70.247029
