ra,dec,sigra,sigdec,sigradec,source_id,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.4904703,-3.0574715,0.2226,0.2267,-0.0913,09606r181-001119,14.410,0.072,15.0,1.292E+00,14.498,0.258,4.2,7.969E-01,1,0,0000,AB,10,58743.91528536,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.340319,101.763151
86.4743558,-3.0566164,1.4691,1.6315,-0.3370,57894a107-003946,16.725,0.494,2.2,1.196E+00,15.040,null,1.3,6.402E-01,1,0,0000,CU,10,57089.86006997,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.349449,264.323208
86.4748174,-3.0586243,1.8872,2.1090,-0.6425,74948a162-004110,16.100,null,1.9,8.486E-01,15.475,null,-0.5,6.457E-01,1,0,0000,UU,10,57648.95883852,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.350204,249.806229
86.4904636,-3.0575367,0.1733,0.1910,-0.0656,68858a101-001384,14.286,0.061,17.9,1.338E+00,14.538,0.243,4.5,8.665E-01,1,0,0000,AB,10,57449.46990789,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.365526,102.221086
86.4904568,-3.0575699,0.2479,0.2447,-0.1100,86138a182-001110,14.449,0.077,14.2,8.119E-01,14.826,0.367,3.0,8.845E-01,1,0,0000,AC,10,58015.34869362,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.367188,102.459083
86.4743382,-3.0551340,1.6956,1.8353,-0.6316,31978r181-006131,16.888,0.536,2.0,1.040E+00,15.514,null,-0.5,7.411E-01,1,0,0000,CU,10,59475.33784146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.369811,274.752795
86.4744024,-3.0570357,1.0671,1.0279,-0.4334,09602r182-004240,16.361,0.352,3.1,5.041E-01,15.400,0.533,2.0,9.505E-01,1,0,0000,BC,10,58743.78450949,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.371338,261.359403
86.4769200,-3.0498300,3.7915,3.8663,-1.6358,79982a101-003676,16.473,null,0.8,8.729E-01,15.220,null,0.5,4.363E-01,1,0,0000,UU,10,57813.84460117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.376159,317.124795
86.4744199,-3.0571546,1.3689,1.4319,-0.6069,31982r135-005495,16.698,0.543,2.0,4.019E-01,15.120,null,-1.2,5.796E-01,1,0,0000,CU,10,59475.46861735,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.376631,260.515570
86.4904111,-3.0577770,0.3281,0.4242,-0.1272,63829b188-001566,14.616,0.112,9.7,5.632E-01,14.454,0.252,4.3,9.135E-01,1,0,0000,BB,10,57284.60014955,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.377536,103.948219
86.4744247,-3.0571896,1.2735,1.3713,-0.4268,36815r097-004694,16.807,0.460,2.4,7.052E-01,14.816,null,1.7,8.084E-01,1,0,0000,CU,10,59633.34709877,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.380648,260.267669
86.4745668,-3.0578531,1.7560,2.0918,-0.0567,57929a083-004736,15.928,null,0.9,9.822E-01,14.857,null,1.6,7.195E-01,1,0,0000,UU,10,57090.97656947,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.382467,255.503057
86.4743758,-3.0568765,1.3817,1.4121,-0.6366,90905a072-005676,16.752,0.467,2.3,1.157E+00,14.792,null,1.4,1.035E+00,1,0,0000,CU,10,58171.36356501,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.385521,262.492272
86.4744438,-3.0573072,0.6068,0.7791,0.1186,03309r074-002727,15.905,0.238,4.6,1.034E+00,15.663,0.523,2.1,5.669E-01,1,0,0000,BC,10,58537.94193337,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.387667,259.431483
86.4743426,-3.0565935,1.1093,1.1141,-0.3573,09632r157-004839,16.190,0.383,2.8,8.562E-01,15.190,null,-0.5,9.458E-01,1,0,0000,CU,10,58744.76577431,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.388643,264.492294
86.4764082,-3.0612813,2.8360,3.1364,-0.3833,57914a107-006146,16.531,null,0.7,7.003E-01,15.696,null,-1.2,4.637E-01,1,0,0000,UU,10,57090.51687932,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.400546,227.937199
86.4904841,-3.0575081,0.2237,0.2252,-0.0582,86150a182-001076,14.451,0.076,14.3,8.807E-01,14.299,0.192,5.6,9.485E-01,1,0,0000,AB,10,58015.74153105,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.415987,101.994702
86.4777195,-3.0624564,0.7217,0.7854,-0.2845,03291r097-003945,15.955,0.226,4.8,4.061E-01,14.936,null,0.6,6.827E-01,1,0,0000,BU,10,58537.35299421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.417188,215.573426
86.4904872,-3.0574987,0.2766,0.3866,-0.1698,14437r072-001038,14.565,0.103,10.5,4.631E-01,14.191,0.221,4.9,6.513E-01,1,0,0000,AB,10,58901.90883817,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.419876,101.925727
86.4743000,-3.0560697,0.7908,0.8153,-0.3729,79966a101-005563,15.782,0.319,3.4,1.061E+00,15.262,null,0.6,4.397E-01,1,0,0000,BU,10,57813.32073089,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.420982,268.178769
86.4904812,-3.0575410,0.2399,0.2663,-0.0617,43236r155-001277,14.615,0.086,12.6,1.723E+00,14.455,0.230,4.7,1.138E+00,1,0,0000,AB,10,59842.85371161,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.430639,102.224467
86.4744089,-3.0571928,0.6539,0.7982,-0.2551,79973a029-003408,15.990,0.224,4.8,1.512E+00,15.440,null,-0.1,6.229E-01,1,0,0000,BU,10,57813.51721411,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.438577,260.264257
86.4905236,-3.0573526,0.2246,0.2074,-0.0988,20840r156-001042,14.334,0.068,16.0,6.274E-01,14.209,0.219,5.0,8.031E-01,1,0,0000,AB,10,59111.28113740,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.444206,100.871670
86.4783748,-3.0487203,1.0551,0.9981,-0.3893,25681r024-004311,16.177,0.293,3.7,9.369E-01,15.495,null,-0.2,5.877E-01,1,0,0000,BU,10,59269.53994208,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.482381,329.962713
86.4749663,-3.0525190,1.1504,1.0317,0.0889,36821r069-003740,16.323,0.318,3.4,6.046E-01,15.037,null,1.0,4.767E-01,1,0,0000,BU,10,59633.54294486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.494988,293.683158
86.4793981,-3.0634176,0.5348,0.5628,-0.2144,09606r181-005628,15.676,0.189,5.8,2.771E+00,14.524,0.298,3.6,6.169E-01,1,0,0000,BB,10,58743.91528536,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.543397,202.024756
86.4744389,-3.0575139,2.8198,2.8793,0.9745,63844a164-005248,15.937,null,0.8,4.779E-01,14.565,null,0.9,6.278E-01,1,0,0000,UU,10,57285.05933093,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.550433,258.019291
86.4743636,-3.0571248,1.1693,1.5748,-0.2802,68850b101-003491,16.790,0.526,2.1,1.188E+00,15.628,null,-1.3,8.805E-01,1,0,0000,CU,10,57449.20784588,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.558907,260.785318
86.4748758,-3.0526698,1.6097,1.7570,-0.4921,03305r073-003791,16.841,0.513,2.1,8.918E-01,14.980,null,0.6,6.512E-01,1,0,0000,CU,10,58537.81102966,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.581522,292.467016
86.4744684,-3.0576878,1.8916,2.1853,-0.7418,74945b186-004980,16.241,null,1.5,8.347E-01,14.891,null,1.3,1.079E+00,1,0,0000,UU,10,57648.89325929,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.583448,256.790488
86.4768258,-3.0498386,1.2782,1.2363,-0.3733,97292a156-003859,16.418,0.397,2.7,6.633E-01,15.459,null,-0.1,7.029E-01,1,0,0000,CU,10,58380.35475632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.585106,316.603377
86.4771903,-3.0621247,1.6762,2.1469,-0.4713,25575r097-006285,16.173,null,1.7,6.994E-01,14.866,null,0.5,8.632E-01,1,0,0000,UU,10,59266.07558256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.637574,219.911894
86.4773673,-3.0493502,0.8633,1.0821,0.0994,03295r046-003153,16.269,0.322,3.4,5.678E-01,14.487,null,1.4,1.110E+00,1,0,0000,BU,10,58537.48389788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.641489,321.679096
