ra,dec,sigra,sigdec,sigradec,source_id,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.4742617,-3.0572701,1.1647,1.1215,-0.6422,68861a077-006694,16.209,0.370,2.9,7.004E-01,14.891,null,-1.0,8.600E-01,1,0,0000,CU,10,57449.53548709,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,30.007748,259.911418
86.4742493,-3.0544191,1.6423,1.6741,-0.7812,63825b188-005721,16.075,null,1.8,1.287E+00,14.779,null,1.4,2.982E-01,1,0,0000,UU,10,57284.46899128,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.009103,279.604930
86.4766990,-3.0497957,1.7210,1.6691,-0.3974,97300a157-002597,15.996,null,2.0,4.196E-01,14.832,null,0.7,4.245E-01,1,0,0000,UU,10,58380.61656294,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.011345,316.173606
86.4747100,-3.0588600,1.6906,1.2430,-0.3386,20834r180-005003,16.328,0.419,2.6,4.630E-01,15.106,null,-0.3,3.509E-01,1,0,0000,CU,10,59111.08490999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.012788,248.540256
86.4888777,-3.0611702,1.8082,1.9149,-0.2963,20852r156-007525,16.301,null,0.7,7.069E-01,14.246,null,1.7,3.881E-01,1,0,0000,UU,10,59111.67346488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.021882,129.997744
86.4776534,-3.0489971,1.2763,1.2309,-0.4659,14437r072-002307,16.418,0.402,2.7,7.408E-01,15.406,null,-1.0,4.107E-01,1,0,0000,CU,10,58901.90883817,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.043422,324.722564
86.4906987,-3.0542822,0.7846,1.0511,-0.1128,03305r073-002347,16.105,0.417,2.6,1.167E+00,15.322,null,-2.5,8.637E-01,1,0,0000,CU,10,58537.81102966,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.052851,79.454877
86.4803546,-3.0477227,1.0487,1.1052,0.1137,90891a097-004493,16.228,null,1.6,1.597E+00,14.785,0.331,3.3,7.528E-01,1,0,0000,UB,10,58170.90539961,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.100164,345.295155
86.4786198,-3.0632300,1.1799,1.1766,0.0376,52809b191-005665,16.405,0.367,3.0,6.503E-01,15.013,null,1.3,1.056E+00,1,0,0000,CU,10,56922.77283535,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.101489,207.451821
86.4742037,-3.0570997,3.1900,3.0710,-1.3173,90883a097-005686,16.352,null,0.9,1.635E+00,15.374,null,-0.8,2.142E-01,1,0,0000,UU,10,58170.64359073,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,30.112387,261.130167
86.4749521,-3.0520929,0.9436,1.1201,-0.4219,43248r155-006721,16.400,0.333,3.3,1.024E+00,15.351,null,-0.4,4.979E-01,1,0,0000,BU,10,59843.24502068,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.189657,296.311216
86.4743603,-3.0536643,1.1458,1.4262,-0.5463,57894a107-004302,15.961,null,1.2,8.623E-01,15.080,0.411,2.6,6.247E-01,1,0,0000,UC,10,57089.86006997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.194179,284.822444
86.4772770,-3.0623967,5.1643,5.1985,-2.1571,68862a101-006882,16.915,null,-0.5,1.101E+00,15.170,null,0.6,5.178E-01,1,0,0000,UU,10,57449.60106625,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.201131,218.266221
